2018-09-28 16:49:51 session verif row db  
2018-09-28 16:49:55 session verif row db  
2018-09-28 16:49:55 session verif row db  
2018-09-28 16:49:55 session verif row db  
2018-09-28 16:49:55 session verif row db  
2018-09-28 16:50:01 session verif row db  
2018-09-28 16:50:01 session verif row db  
2018-09-28 16:50:01 session verif row db  
2018-09-28 16:50:01 session verif row db  
2018-09-28 16:50:26 session verif row db  
2018-09-28 16:50:27 session verif row db  
2018-09-28 16:50:30 session verif row db  
2018-09-28 16:50:30 session verif row db  
2018-09-28 16:50:30 session verif row db  
2018-09-28 16:50:30 session verif row db  
2018-09-28 16:50:31 session verif row db  
2018-09-28 16:50:32 session verif row db  
2018-09-28 16:50:35 session verif row db  
2018-09-28 16:50:35 session verif row db  
2018-09-28 16:50:35 session verif row db  
2018-09-28 16:50:35 session verif row db  
2018-09-28 16:50:40 session verif row db  
2018-09-28 16:50:40 session verif row db  
2018-09-28 16:50:40 session verif row db  
2018-09-28 16:50:40 session verif row db  
2018-09-28 16:50:42 session verif row db  
2018-09-28 16:50:42 session verif row db  
2018-09-28 16:50:42 session verif row db  
2018-09-28 16:50:42 session verif row db  
2018-09-28 16:50:51 session verif row db  
2018-09-28 16:50:54 session verif row db  
2018-09-28 16:50:54 session verif row db  
2018-09-28 16:50:54 session verif row db  
2018-09-28 16:50:54 session verif row db  
2018-09-28 16:50:58 session verif row db  
2018-09-28 16:50:58 session verif row db  
2018-09-28 16:50:58 session verif row db  
2018-09-28 16:50:58 session verif row db  
2018-09-28 16:51:00 session verif row db  
2018-09-28 16:51:00 session verif row db  
2018-09-28 16:51:00 session verif row db  
2018-09-28 16:51:00 session verif row db  
